id,nume,diacritice,judet,auto,zip,populatie,lat,lng
255,Ulmi,Ulmi,Giurgiu,GR,87230,1177,444.989.656,257.756.198
256,Cascioarele (Ulmi),Căscioarele (Ulmi),Giurgiu,GR,87231,233,445.191.373,257.456.057
257,Draganeasca,Drăgăneasca,Giurgiu,GR,87232,601,445.304.795,257.419.902
258,Ghionea,Ghionea,Giurgiu,GR,87233,596,444.826.904,25.799.675
259,Icoana,Icoana,Giurgiu,GR,87234,1119,444.854.071,257.450.739
260,Mosteni,Moşteni,Giurgiu,GR,87236,460,441.742.096,259.408.144
261,Poenari,Poenari,Giurgiu,GR,87237,1024,444.732.073,257.701.411
262,Trestieni,Trestieni,Giurgiu,GR,87238,2608,445.102.753,257.593.712
263,Valea Dragului,Valea Dragului,Giurgiu,GR,87240,3230,442.074.248,262.951.445
264,Varasti,Vărăşti,Giurgiu,GR,87245,3908,442.407.092,262.696.557
265,Dobreni,Dobreni,Giurgiu,GR,87246,2409,44.253.387,262.082.339
266,Vanatorii Mici,Vânătorii Mici,Giurgiu,GR,87250,847,444.904.262,255.602.004
267,Corbeanca,Corbeanca,Giurgiu,GR,87251,367,444.759.721,255.666.586
268,Cupele,Cupele,Giurgiu,GR,87252,502,445.034.495,255.262.786
269,Izvoru (Vanatorii Mici),Izvoru (Vânătorii Mici),Giurgiu,GR,87253,860,445.127.129,255.389.944
270,Poiana lui Stanga,Poiana lui Stângă,Giurgiu,GR,87254,748,445.089.374,255.856.531
271,Valcelele,Vâlcelele,Giurgiu,GR,87256,,444.673.387,255.719.187
272,Vanatorii Mari,Vânătorii Mari,Giurgiu,GR,87257,1225,444.895.559,25.538.116
273,Zadariciu,Zădăriciu,Giurgiu,GR,87258,218,444.736.515,255.789.283
274,Vedea,Vedea,Giurgiu,GR,87260,3108,437.809.092,25.785.655
275,Malu,Malu,Giurgiu,GR,87261,2376,438.214.124,258.286.785
276,Azuga,Azuga,Prahova,PH,105100,4440,454.450.965,255.700.368
277,Baicoi,Băicoi,Prahova,PH,105200,11047,450.340.198,25.879.006
278,Dambu,Dâmbu,Prahova,PH,105201,,450.455.104,258.881.859
279,Liliesti,Lilieşti,Prahova,PH,105202,3438,450.340.198,25.879.006
280,Schela,Schela,Prahova,PH,105203,438,45.033.051,258.367.014
281,Tufeni,Tufeni,Prahova,PH,105200,930,450.606.817,25.835.884
282,Tintea,Ţintea,Prahova,PH,105200,1396,450.331.044,259.135.987
283,Boldesti-Scaeni,Boldeşti-Scăeni,Prahova,PH,105300,10105,450.203.382,260.274.723
284,Seciu,Seciu,Prahova,PH,105301,1032,450.323.928,260.649.481
285,Breaza,Breaza,Prahova,PH,105400,,45.187.222,25.662.222
286,Breaza de Jos,Breaza de Jos,Prahova,PH,105400,4292,451.719.817,256.694.364
287,Breaza de Sus,Breaza de Sus,Prahova,PH,105402,6068,451.903.148,256.555.351
288,Frasinet,Frăsinet,Prahova,PH,105406,509,45.195.991,256.787.267
289,Gura Beliei,Gura Beliei,Prahova,PH,105404,935,452.141.183,256.448.983
290,Irimesti,Irimeşti,Prahova,PH,105405,32,451.528.102,256.608.568
291,Nistoresti,Nistoreşti,Prahova,PH,105406,832,452.067.019,256.653.688
292,Podu Corbului,Podu Corbului,Prahova,PH,105407,309,452.166.442,256.552.086
293,Podu Vadului,Podu Vadului,Prahova,PH,105408,1598,451.514.861,256.871.484
294,Surdesti,Surdeşti,Prahova,PH,105409,112,451.870.043,25.619.863
295,Valea Tarsei,Valea Târsei,Prahova,PH,105410,1241,451.823.289,256.419.569
296,Busteni,Buşteni,Prahova,PH,105500,6376,454.097.148,255.342.236
297,Poiana Tapului,Poiana Ţapului,Prahova,PH,105550,2518,453.809.651,255.442.904
